Institution;year;sp
Universidade Estadual Paulista;1986;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1983;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Museu Botânico Municipal;1977;Caryocar brasiliense
NA;2007;Caryocar brasiliense
Universidade Federal de Uberlândia;2007;Caryocar brasiliense
Universidade Tecnológica Federal do Paraná;2014;Caryocar brasiliense
Museu Botânico Municipal;1973;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;2017;Caryocar brasiliense
NA;2010;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Universidade Federal de Jataí;2004;Caryocar brasiliense
NA;2004;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
Universidade Federal de São Carlos;2022;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2014;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1963;Caryocar brasiliense
NA;1963;Caryocar brasiliense
Instituto Agronômico de Campinas;1940;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1994;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
Instituto Agronômico de Pernambuco;1958;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2007;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2014;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2014;Caryocar brasiliense
NA;2002;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1990;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;1966;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2007;Caryocar brasiliense
Universidade Estadual de Campinas;2019;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1994;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2004;Caryocar brasiliense
NA;1971;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1954;Caryocar brasiliense
NA;1974;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1989;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1929;Caryocar brasiliense
NA;2016;Caryocar brasiliense
