"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co68","Herbário Alexandre Leal Costa da UFBA","","Records provided by Herbário Alexandre Leal Costa da UFBA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co68","","","","26"
"co69","Herbário HSTM","","Records provided by Herbário HSTM, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co69","","","","1"
"co316","Herbário do Trópico Semiárido","","Records provided by Herbário do Trópico Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co316","","","","1"
"co315","Herbário Sérgio Tavares","","Records provided by Herbário Sérgio Tavares, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co315","","","","1"
"in22","Universidade Federal de Rondônia","","Records provided by Universidade Federal de Rondônia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in22","","","","2"
"in24","Universidade Federal de Sergipe","","Records provided by Universidade Federal de Sergipe, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in24","","","","2"
"in23","Universidade Federal do Oeste do Pará","","Records provided by Universidade Federal do Oeste do Pará, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in23","","","","1"
"in26","Universidade Estadual de Campinas","","Records provided by Universidade Estadual de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in26","","","","82"
"in25","Universidade do Estado de Minas Gerais","","Records provided by Universidade do Estado de Minas Gerais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in25","","","","4"
"in28","Instituto Agronômico do Norte","","Records provided by Instituto Agronômico do Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in28","","","","21"
"co300","Herbário Dendrológico Jeanine Felfili","","Records provided by Herbário Dendrológico Jeanine Felfili, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co300","","","","4"
"co308","Herbário Joinvillea da Universidade da Região de Joinville","","Records provided by Herbário Joinvillea da Universidade da Região de Joinville, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co308","","","","1"
"dr973","Herbário da Universidade do Estado de Minas Gerais - HUEMG","","Herbário da Universidade do Estado de Minas Gerais - HUEMG. v1.8. Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr. Dataset/Occurrence. https://ipt.sibbr.gov.br/parceiros_jbrj/resource?r=huemg_34&amp;v=1.8","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr973","","","","4"
"in10","Universidade de Brasília","","Records provided by Universidade de Brasília, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in10","","","","72"
"in12","Universidade Federal da Bahia","","Records provided by Universidade Federal da Bahia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in12","","","","26"
"in15","Universidade Federal de Pernambuco","","Records provided by Universidade Federal de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in15","","","","3"
"dr612","Herbário da Universidade Estadual de Maringá","","HUEM - Herbário da Universidade Estadual de Maringá","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr612","","","","4"
"in19","Universidade Federal de Minas Gerais","","Records provided by Universidade Federal de Minas Gerais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in19","","","","28"
"in18","Universidade Federal de Goiás","","Records provided by Universidade Federal de Goiás, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in18","","","","63"
"co211","Herbarium Anchieta","","Records provided by Herbarium Anchieta, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co211","","","","2"
"co83","Herbário do INPA","","Records provided by Herbário do INPA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co83","","","","37"
"in40","Universidade Estadual de Feira de Santana","","Records provided by Universidade Estadual de Feira de Santana, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in40","","","","32"
"in42","Prefeitura de Belo Horizonte","","Records provided by Prefeitura de Belo Horizonte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in42","","","","3"
"dr522","Herbário do Trópico Semiárido","https://doi.org/10.15468/9tmqsk","Herbário do Trópico Semiárido, HTSA (www.cpatsa.embrapa.br).","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr522","","","","1"
"in41","Museu Botânico Municipal","","Records provided by Museu Botânico Municipal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in41","","","","67"
"dr521","Herbário Sérgio Tavares","https://doi.org/10.15468/bnu6s9","HST - Herbário Sérgio Tavares","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr521","","","","1"
"in44","Embrapa Recursos Genéticos e Biotecnologia","","Records provided by Embrapa Recursos Genéticos e Biotecnologia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in44","","","","58"
"in43","Universidade Estadual Paulista","","Records provided by Universidade Estadual Paulista, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in43","","","","119"
"in46","Universidade Federal de Juiz de Fora","","Records provided by Universidade Federal de Juiz de Fora, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in46","","","","4"
