"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"recordID","id","recordID","id","recordID","id","recordID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"DatasetID","data_resource_uid","","data_resource_uid","Dataset","data_resource_uid","DatasetID","The Atlas ID for the data resource"
"DatasetName","data_resource","","data_resource","Dataset","data_resource","DatasetName","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"institutionID","institution_uid","","institution_uid","Institution","institution_uid","institutionID","Atlas ID for this institution"
"Institution","institution_name","","institution_name","Institution","institution_name","Institution","The name in use by the institution having custody of the object(s) or information referred to in the record."
"collectionID","collection_uid","","collection_uid","Collection","collection_uid","collectionID","Atlas ID for this collection"
"Collection","collection_name","","collection_name","Collection","collection_name","Collection","The name of the collection for this record e.g. Entomology Collection"
"license","license","dcterms:license","license","License","license","license","The data licence for this record."
"catalogNumber","catalogue_number","catalogNumber","catalogue_number","catalogNumber","catalogue_number","catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber"
"TaxonConceptID","taxon_concept_lsid","taxonConceptID","taxon_concept_lsid","TaxonConceptID","taxon_concept_lsid","TaxonConceptID","http://rs.tdwg.org/dwc/terms/taxonConceptID"
"Scientific Name - original","raw_taxon_name","scientificName","raw_taxon_name","Scientific name (unprocessed)","raw_taxon_name","Scientific Name - original","http://rs.tdwg.org/dwc/terms/scientificName"
"vernacular name - original","raw_common_name","","raw_common_name","Common name (unprocessed)","raw_common_name","vernacular name - original","The original common name value supplied by the data provider"
"scientificName","taxon_name","scientificName","taxon_name","Scientific name","taxon_name","scientificName","http://rs.tdwg.org/dwc/terms/scientificName"
"taxonRank","rank","taxonRank","rank","Identified to rank","rank","taxonRank","http://rs.tdwg.org/dwc/terms/taxonRank"
"vernacularName","common_name","vernacularName","common_name","Common name (processed)","common_name","vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName"
"kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"phylum","phylum","phylum","phylum","Phylum","phylum","phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"Class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"order","order","order","order","Order","order","order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"family","family","family","family","Family","family","family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"genus","genus","genus","genus","Genus","genus","genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"Species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"Subspecies","subspecies","","subspecies","Subspecies","subspecies","Subspecies","The subspecies the Atlas has matched this record to in the NSL"
"institutionCode","institution_code","institutionCode","institution_code","institutionCode","institution_code","institutionCode","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"collectionCode","collection_code","collectionCode","collection_code","collectionCode","collection_code","collectionCode","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"locality","raw_locality","locality","raw_locality","locality","raw_locality","locality","http://rs.tdwg.org/dwc/terms/locality"
"Latitude - original","raw_latitude","verbatimLatitude","raw_latitude","Latitude - original","raw_latitude","Latitude - original","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"Longitude - original","raw_longitude","verbatimLongitude","raw_longitude","Longitude - original","raw_longitude","Longitude - original","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"geodetic datum - original","raw_datum","verbatimCoordinateSystem","raw_datum","Datum","raw_datum","geodetic datum - original","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"decimalLatitude","latitude","decimalLatitude","latitude","decimalLatitude","latitude","decimalLatitude","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","longitude","decimalLongitude","longitude","decimalLongitude","longitude","decimalLongitude","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"coordinateUncertaintyInMetres","coordinate_uncertainty","coordinateUncertaintyInMeters","coordinate_uncertainty","Coordinate uncertainty (in metres)","coordinate_uncertainty","coordinateUncertaintyInMetres","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"country","country","country","country","Country","country","country","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"stateProvince","state","stateProvince","state","State/Territory","state","stateProvince","http://rs.tdwg.org/dwc/terms/stateProvince"
"minimumElevationInMeters","min_elevation_d","minimumElevationInMeters","min_elevation_d","minimumElevationInMeters","min_elevation_d","minimumElevationInMeters","http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"maximumElevationInMeters","max_elevation_d","maximumElevationInMeters","max_elevation_d","maximumElevationInMeters","max_elevation_d","maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"minimumDepthIn meters","min_depth_d","maximumDepthInMeters","min_depth_d","minimumDepthIn meters","min_depth_d","minimumDepthIn meters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"maximumDepthInMeters","max_depth_d","maximumDepthInMeters","max_depth_d","maximumDepthInMeters","max_depth_d","maximumDepthInMeters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"individualCount","individual_count","individualCount","individual_count","individualCount","individual_count","individualCount","http://rs.tdwg.org/dwc/terms/individualCount"
"year","year","year","year","Year","year","year","http://rs.tdwg.org/dwc/terms/year"
"month","month","month","month","Month","month","month","Month of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/month"
"day","day","day","day","day","day","day","http://rs.tdwg.org/dwc/terms/day"
"verbatimEventDate","verbatim_event_date","verbatimEventDate","verbatim_event_date","verbatimEventDate","verbatim_event_date","verbatimEventDate","http://rs.tdwg.org/dwc/terms/verbatimEventDate"
"basisOfRecord","basis_of_record","basisOfRecord","basis_of_record","Record type","basis_of_record","basisOfRecord","The basis of record e.g. Specimen, Observation http://rs.tdwg.org/dwc/terms/basisOfRecord"
"Basis Of Record - original","raw_basis_of_record","verbatimBasisOfRecord","raw_basis_of_record","Basis Of Record - original","raw_basis_of_record","Basis Of Record - original","The basis of record as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimBasisOfRecord"
