"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","","Records provided by Herbário Maria Eneyda P. Kaufmann Fidalgo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co156","","","","5"
"co278","Herbario Jataiense","","Records provided by Herbario Jataiense, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co278","","","","1"
"co69","Herbário HSTM","","Records provided by Herbário HSTM, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co69","","","","1"
"co152","Herbário da Embrapa Pantanal","","Records provided by Herbário da Embrapa Pantanal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co152","","","","1"
"co153","Herbário da UEL","","Records provided by Herbário da UEL, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co153","","","","1"
"co316","Herbário do Trópico Semiárido","","Records provided by Herbário do Trópico Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co316","","","","3"
"co315","Herbário Sérgio Tavares","","Records provided by Herbário Sérgio Tavares, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co315","","","","1"
"dr342","Herbário Ezechias Paulo Heringer - HEPH","","Records provided by Herbário Ezechias Paulo Heringer - HEPH, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr342","","","","1"
"in23","Universidade Federal do Oeste do Pará","","Records provided by Universidade Federal do Oeste do Pará, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in23","","","","1"
"in28","Instituto Agronômico do Norte","","Records provided by Instituto Agronômico do Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in28","","","","5"
"dr229","Herbário Lauro Pires Xavier","https://doi.org/10.15468/uxvuhx","Herbario da Universidade Federal da Paraíba, JPB","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr229","","","","1"
"co144","Herbário da Amazônia Meridional","","Records provided by Herbário da Amazônia Meridional, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co144","","","","5"
"co141","Herbário Uberlandense","","Records provided by Herbário Uberlandense, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co141","","","","8"
"co142","Herbário da ESALQ","","Records provided by Herbário da ESALQ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co142","","","","2"
"dp5","Programa Reflora/CNPq","","Records provided by Programa Reflora/CNPq, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp5","","","","40"
"in118","Instituto Brasileiro de Geografia e Estatística","","Records provided by Instituto Brasileiro de Geografia e Estatística, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in118","","","","5"
"dp7","Museu Paraense Emilio Goeldi","","Records provided by Museu Paraense Emilio Goeldi, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp7","","","","11"
"dp8","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","","Records provided by Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp8","","","","12"
"dr335","Herbário Caririense Dárdano de Andrade-Lima","https://doi.org/10.15468/lstihc","Herbário Caririense Dárdano de Andrade-Lima, HCDAL, URCA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr335","","","","1"
"dr572","Herbário da Universidade de Tocantins","https://doi.org/10.15468/zhlmlh","Herbário HUTO da Universidade do Tocantins","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr572","","","","1"
"in19","Universidade Federal de Minas Gerais","","Records provided by Universidade Federal de Minas Gerais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in19","","","","3"
"dr458","INPA | Tree species composition in ecotone forests of the eastern Maracá Island, Roraima, northern Brazilian Amazonia: preliminary data","https://doi.org/10.15468/xa5lrb","Silva W R, Villacorta C D A, Carvalho L C S, Farias H L S, Perdiz R O, Barbosa R I (2019): Tree species composition in ecotone forests of the eastern Maracá Island, Roraima, northern Brazilian Amazonia: preliminary data. v1.8. Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr. Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=maraca_comp_floristic&v=1.8","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr458","","","","7"
"dr338","Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira","","Records provided by Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr338","","","","18"
"co83","Herbário do INPA","","Records provided by Herbário do INPA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co83","","","","12"
"dr491","Coleção de Frutos - Herbário Profª. Drª. Marlene Freitas da Silva","https://doi.org/10.15468/ca06tq","Herbário MFS (http://paginas.uepa.br/herbariomfs/)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr491","","","","1"
"in40","Universidade Estadual de Feira de Santana","","Records provided by Universidade Estadual de Feira de Santana, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in40","","","","8"
"dr247","UB - Herbário da Universidade de Brasília","","Oliveira R C D, Cemin D (2023). UB - Herbário da Universidade de Brasília. Jabot - Banco de Dados da Flora Brasileira. Version 1.36. No organisation. Occurrence dataset. https://ipt.jbrj.gov.br/jabot/resource?r=hub&v=1.36","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr247","","","","30"
"dr522","Herbário do Trópico Semiárido","https://doi.org/10.15468/9tmqsk","Herbário do Trópico Semiárido, HTSA (www.cpatsa.embrapa.br).","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr522","","","","3"
"dr246","Embrapa Amazônia Oriental - Instituto Agronômico do Norte (Herbário IAN)","","RAIOL SOUZA H J (2016): Embrapa Amazônia Oriental - Instituto Agronômico do Norte (Herbário IAN). v1.6. No organisation. Dataset/Occurrence. https://ipt.sibbr.gov.br/parceiros_jbrj/resource?r=ian_13&v=1.6","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr246","","","","5"
"in41","Museu Botânico Municipal","","Records provided by Museu Botânico Municipal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in41","","","","4"
