"recordID","DatasetID","DatasetName","institutionID","Institution","collectionID","Collection","license","catalogNumber","TaxonConceptID","Scientific Name - original","vernacular name - original","scientificName","taxonRank","vernacularName","kingdom","phylum","Class","order","family","genus","Species","Subspecies","institutionCode","collectionCode","locality","Latitude - original","Longitude - original","geodetic datum - original","decimalLatitude","decimalLongitude","coordinateUncertaintyInMetres","country","stateProvince","minimumElevationInMeters","maximumElevationInMeters","minimumDepthIn meters","maximumDepthInMeters","individualCount","year","month","day","verbatimEventDate","basisOfRecord","Basis Of Record - original","occurrenceStatus","sex","preparations","Taxonomic Quality","Location Quality","Event Date - parsed","country","identified _ by","county","Occurrence status assumed to be present","Basis of record badly formed","Coordinates are out of range for species","Country inferred from coordinates","Day and month transposed","Coordinates derived from verbatim coordinates","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Collector name unparseable","Collection code not recognised","Institution code not recognised","Type status not recognised","Unrecognized geodetic datum"
"d529abaf-5fab-42e6-935c-e4337121bb16","dr262","Herbário Uberlandense","in68","Universidade Federal de Uberlândia","co141","Herbário Uberlandense","CC-BY-NC","33173","284459","Mauritia flexuosa","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","UFU","HUFU","Reserva do Clube Caça e Pesca Itororó","","","","","","","Brasil","","","","","","","1999","12","21","","PreservedSpecimen","preservedSpecimen","present","","","true","","1999-12-21","Brasil","Silva, M.R.","Uberlândia","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"cc49cfae-3bbd-406a-874b-818b2f03cdea","dr27","","","","","","","177651","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","INPA","HerbarioINPA","Campo Novo dos Parecis, Margem direita do rio Papagaio, reserva Utiarity - Campo Novo Parecis.","","","desconhecido","","","","Brasil","","0.0","0.0","","","","1994","12","14","","PreservedSpecimen","PreservedSpecimen","present","","","true","","1994-12-14","Brasil","","Campo Novo dos Parecis","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"a156156b-f889-4764-87db-d8ea7e5a1469","dr799","Herbarium - Instituto Nacional de Pesquisas da Amazônia (INPA)","in8","Instituto Nacional de Pesquisas da Amazônia","co83","Herbário do INPA","CC-BY-NC","190403","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","Instituto Nacional de Pesquisas da Amazônia (INPA)","Herbario INPA","Vila de Balbina, Estrada da Cachoeira Morena, Km 20","","","desconhecido","","","","Brasil","","0.0","0.0","","","","1996","12","05","","PreservedSpecimen","preservedSpecimen","present","","","true","","1996-12-05","Brasil","Rabelo, A.","Presidente Figueiredo","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"8ae0d638-8b96-4031-808c-d34ec35588d7","dr799","Herbarium - Instituto Nacional de Pesquisas da Amazônia (INPA)","in8","Instituto Nacional de Pesquisas da Amazônia","co83","Herbário do INPA","CC-BY-NC","177651","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","Instituto Nacional de Pesquisas da Amazônia (INPA)","Herbario INPA","Campo Novo dos Parecis, Margem direita do rio Papagaio, reserva Utiarity - Campo Novo Parecis.","","","desconhecido","","","","Brasil","","0.0","0.0","","","","1994","12","14","","PreservedSpecimen","preservedSpecimen","present","","","true","","1994-12-14","Brasil","","Campo Novo dos Parecis","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"571e4f70-ec21-42db-aacb-02975360124c","dr247","UB - Herbário da Universidade de Brasília","","","","","CC-BY 4.0 (Int)","UB0322788","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","UNB","UB","Parque Nacional das Nascentes do Rio Parnaíba, trilha para a Cachoeira do Sussuapara. PNNRP","-10.1716667","-45.9227778","","-10.1716667","-45.9227778","","Brasil","Piaui","","","","","","2022","12","15","","PreservedSpecimen","PreservedSpecimen","present","","","true","true","2022-12-15","Brasil","Zappi, D.C.","","true","false","false","false","false","false","false","false","true","false","false","false","false","true","false","true","true","false","false"
"566924d7-44dd-4458-9d4c-23b597823a1d","dr27","","","","","","","190403","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","INPA","HerbarioINPA","Vila de Balbina, Estrada da Cachoeira Morena, Km 20","","","desconhecido","","","","Brasil","","0.0","0.0","","","","1996","12","05","","PreservedSpecimen","PreservedSpecimen","present","","","true","","1996-12-05","Brasil","Rabelo, A.","Presidente Figueiredo","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"f29f3921-b95c-49b5-8cd7-6abb7d228059","dr799","Herbarium - Instituto Nacional de Pesquisas da Amazônia (INPA)","in8","Instituto Nacional de Pesquisas da Amazônia","co83","Herbário do INPA","CC-BY-NC","172961","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","Instituto Nacional de Pesquisas da Amazônia (INPA)","Herbario INPA","Ca. 5 Km west of Mancio Lima, low wet area on white sand ""campina"". 0,5 ha surveyed (4 x 1250m).","-7,666667","-72,92","desconhecido","","","","Brasil","","0.0","0.0","","","","1992","02","17","","PreservedSpecimen","preservedSpecimen","present","","","true","","1992-02-17","Brasil","","Mâncio Lima","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"e6ea0468-c9cf-445b-b9c4-0c9fe2ea83d2","dr338","Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira","","","","","CC-BY 4.0 (Int)","CGMS1054005","284459","Mauritia flexuosa L.f.","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","FURB","FURB","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D´Casa, margem do Córrego do Açude.","-20.5844444","-54.3972222","","-20.5844444","-54.3972222","","Brasil","Mato Grosso do Sul","","","","","","2008","02","29","","PreservedSpecimen","PreservedSpecimen","present","","","true","true","2008-02-29","Brasil","H.C. Vinci-Carlos; G.A. Damasceno-Junior","","true","false","false","false","false","false","false","false","true","false","false","false","false","true","false","true","true","false","false"
"d67da3e3-affc-4423-a6ac-3d8a69a905a8","dr275","Herbário CPAP","in47","Embrapa Pantanal","co152","Herbário da Embrapa Pantanal","CC-BY-NC 4.0 (Int)","12060","284459","Mauritia flexuosa","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","Empresa Brasileira de Pesquisa Agropecuária","CPAP","4 km da BR-163, no município de São Gabriel D'Oeste","-19.2333329999999982","-54.7000000000000028","","-19.233333","-54.7","","Brasil","Mato Grosso do Sul","390.0","390.0","","","","1994","02","25","","PreservedSpecimen","PreservedSpecimen","present","","","true","true","1994-02-25","Brasil","","","true","false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
"cd9db79c-7375-468c-82b9-183241812bd7","dr338","Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira","","","","","CC-BY-NC 4.0 (Int)","24567","284459","Mauritia flexuosa","","Mauritia flexuosa","species","Buriti","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Mauritia","Mauritia flexuosa","","Universidade Federal de Mato Grosso do Sul","CGMS","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D´Casa, margem do Córrego do Açude.","-20.5844443999999989","-54.3972222000000016","","-20.5844444","-54.3972222","","Brasil","Mato Grosso do Sul","","","","","","2008","02","29","","PreservedSpecimen","PreservedSpecimen","present","","","true","true","2008-02-29","Brasil","H.C. Vinci-Carlos; G.A. Damasceno-Junior","","true","false","false","false","false","false","false","false","true","false","false","false","false","true","false","true","true","false","false"
