name;date;tempc;humidpc
xm-09;2024-02-14T11:00:00.000-03:00;27;77
xm-09;2024-02-14T12:00:00.000-03:00;25,45;71
xm-09;2024-02-14T13:00:00.000-03:00;24,95;71
xm-09;2024-02-14T14:00:00.000-03:00;25;71
xm-09;2024-02-14T15:00:00.000-03:00;25,15;71
xm-09;2024-02-14T16:00:00.000-03:00;25,25;71
xm-09;2024-02-14T17:00:00.000-03:00;25,35;71
xm-09;2024-02-14T18:00:00.000-03:00;25,45;71
xm-09;2024-02-14T19:00:00.000-03:00;25,75;71
xm-09;2024-02-14T20:00:00.000-03:00;26,15;71
xm-09;2024-02-14T21:00:00.000-03:00;26,25;71
xm-09;2024-02-14T22:00:00.000-03:00;26,1;71
xm-09;2024-02-14T23:00:00.000-03:00;26;71
xm-09;2024-02-15T00:00:00.000-03:00;25,8;71
xm-09;2024-02-15T01:00:00.000-03:00;25,6;71
xm-09;2024-02-15T02:00:00.000-03:00;25,4;71
xm-09;2024-02-15T03:00:00.000-03:00;25,2;71
xm-09;2024-02-15T04:00:00.000-03:00;25,1;71
xm-09;2024-02-15T05:00:00.000-03:00;24,9;71
xm-09;2024-02-15T06:00:00.000-03:00;24,8;71
xm-09;2024-02-15T07:00:00.000-03:00;24,6;70
xm-09;2024-02-15T08:00:00.000-03:00;24,55;70
xm-09;2024-02-15T09:00:00.000-03:00;24,6;70
xm-09;2024-02-15T10:00:00.000-03:00;24,5;70
xm-09;2024-02-15T11:00:00.000-03:00;21,85;70
xm-09;2024-02-15T12:00:00.000-03:00;24,65;70
xm-09;2024-02-15T13:00:00.000-03:00;26,45;70
xm-09;2024-02-15T14:00:00.000-03:00;26,4;70
xm-09;2024-02-15T15:00:00.000-03:00;26,65;72
xm-09;2024-02-15T16:00:00.000-03:00;26,8;67
xm-09;2024-02-15T17:00:00.000-03:00;27,45;77
xm-09;2024-02-15T18:00:00.000-03:00;24,8;75
xm-09;2024-02-15T19:00:00.000-03:00;24,1;74
xm-09;2024-02-15T20:00:00.000-03:00;23,45;77
xm-09;2024-02-15T21:00:00.000-03:00;23,1;78
