especie;sexoesp;comptotbico;altbico;largbico;compasa;comptmet;compcauda;sexo1m2f3na;compbico
1;f;100;42;56;755;186;621;3;85
1;f;105;43;63;750;195;620;2;92
1;f;105;47;61;752;186;609;2;92
1;F;108;42;69;737;192;652;1;86
1;F;108;47;54;783;195;531;1;85
1;F;116;44;57;765;196;570;1;85
1;F;116;48;67;777;207;557;1;92
1;f;117;39;62;716;173;567;2;83
1;f;118;46;66;757;181;641;2;90
1;F;120;42;54;765;207;613;1;85
2;s;#N/D;48;57;830;195;780;2;#N/D
2;S;112;43;53;809;199;715;1;89
2;S;114;53;55;872;216;737;1;98
2;S;120;47;64;816;205;690;1;99
2;s;121;49;65;823;214;681;2;97
2;s;121;51;60;863;198;768;3;98
2;S;124;55;57;887;199;793;1;95
2;S;127;47;48;904;202;738;1;98
2;s;127;50;60;842;196;695;2;95
2;s;132;51;58;853;218;788;3;102
3;p;92;36;42;693;173;578;2;76
3;p;95;35;52;714;181;590;2;84
3;P;95;36;51;763;174;625;1;75
3;p;99;46;57;683;182;615;2;85
3;P;100;36;48;715;180;581;1;80
3;P;100;39;55;760;197;604;1;81
3;p;101;40;48;694;167;575;2;77
3;P;105;38;53;681;192;551;1;81
3;P;108;37;49;761;195;605;1;89
3;P;110;36;48;709;171;530;1;86
4;A;#N/D;43;46;776;178;568;1;#N/D
4;A;91;#N/D;40;743;190;582;1;76
4;a;95;46;#N/D;716;185;571;2;77
4;a;96;45;48;694;185;519;2;79
4;a;101;51;54;678;166;605;2;78
4;A;102;41;41;792;185;592;1;79
4;a;103;#N/D;42;666;173;470;3;80
4;a;105;41;43;716;141;513;2;84
4;A;110;35;44;710;190;505;1;82
4;A;111;48;47;763;199;646;1;85
5;h;104;44;57;695;156;490;2;87
5;H;106;42;53;702;167;486;1;91
5;h;108;39;56;701;160;536;2;88
5;H;110;41;47;721;160;550;1;92
5;h;112;41;57;707;152;520;3;87
5;h;113;45;55;700;170;516;2;95
5;H;114;40;53;743;166;571;1;87
5;H;114;47;60;705;179;568;1;87
5;h;115;36;54;630;177;472;2;85
5;H;117;40;55;781;170;554;1;90
6;m;96;36;56;750;182;533;2;70
6;M;97;38;50;766;175;590;1;75
6;m;97;46;62;731;157;610;2;79
6;M;101;39;52;782;192;627;1;79
6;M;102;47;53;805;174;644;1;79
6;M;104;45;53;771;158;591;1;85
6;M;112;41;56;784;172;672;1;91
6;m;112;44;52;760;166;564;2;83
6;M;113;46;55;801;176;672;1;88
6;M;115;40;58;785;172;610;1;83
7;r;#N/D;#N/D;#N/D;665;174;474;2;#N/D
7;R;100;42;55;690;190;540;1;95
7;R;107;54;61;678;184;498;1;92
7;R;108;44;55;611;175;505;1;88
7;R;110;53;61;695;186;586;1;97
7;r;113;45;63;608;170;540;2;87
7;r;115;45;62;595;173;502;2;96
7;R;122;58;46;640;197;566;1;115
7;r;126;56;61;700;181;528;3;95
7;R;130;58;58;627;197;602;1;112
8;O;100;39;56;899;207;838;1;74
8;O;101;50;52;913;209;826;1;82
8;o;106;46;62;860;210;755;2;82
8;o;107;45;57;849;210;727;2;78
8;o;108;44;56;838;197;759;2;82
8;O;108;47;51;893;172;718;1;87
8;O;111;54;57;760;191;666;1;78
8;o;113;44;60;841;207;736;2;84
8;O;116;46;55;893;227;835;1;82
8;O;118;49;50;915;216;758;1;85
