Ind	Ph	Cond	Turbidez
17	6.34	24.9	97.7
18	6.16	35.3	75.2
22	6.23	31.4	93.2
31	6.06	31.9	57.1
17	6.41	25.3	48.7
46	5.87	22.1	63.3
40	5.83	20	47.8
35	5.99	23.6	24.8
19	6.32	26.8	66.5
30	5.9	24.7	34
30	6.06	26.4	108
47	5.83	25.5	83.4
20	6	36.3	18.83
26	5.94	32.6	20.7
32	6.07	36.3	36.7
10	6.4	5.68	18.00
10	6.73	48.5	18.49
12	6.58	42.5	16.49
11	6.52	34.9	21.6
5	6.54	28.8	12.93
13	6.36	32.8	21
20	6.01	10.36	24.2
18	6.43	22.3	20.1
9	6.47	32.8	12.53
11	6.4	27	15.2
10	6.48	40.9	36.6
23	6.24	24.1	17.27
24	6.3	32.6	39.4
7	6.62	44.3	38.7
8	6.65	44.5	26.4
