"";"comptotbico";"altbico";"largbico";"compasa";"comptmet";"compcauda";"compbico"
"flavo1";100;42;56;755;186;621;85
"flavo2";105;43;63;750;195;620;92
"flavo3";105;47;61;752;186;609;92
"flavo4";108;42;69;737;192;652;86
"flavo5";108;47;54;783;195;531;85
"flavo6";116;44;57;765;196;570;85
"flavo7";116;48;67;777;207;557;92
"flavo8";117;39;62;716;173;567;83
"flavo9";118;46;66;757;181;641;90
"flavo10";120;42;54;765;207;613;85
"specta2";112;43;53;809;199;715;89
"specta3";114;53;55;872;216;737;98
"specta4";120;47;64;816;205;690;99
"specta5";121;49;65;823;214;681;97
"specta6";121;51;60;863;198;768;98
"specta7";124;55;57;887;199;793;95
"specta8";127;47;48;904;202;738;98
"specta9";127;50;60;842;196;695;95
"specta10";132;51;58;853;218;788;102
"parvi1";92;36;42;693;173;578;76
"parvi2";95;35;52;714;181;590;84
"parvi3";95;36;51;763;174;625;75
"parvi4";99;46;57;683;182;615;85
"parvi5";100;36;48;715;180;581;80
"parvi6";100;39;55;760;197;604;81
"parvi7";101;40;48;694;167;575;77
"parvi8";105;38;53;681;192;551;81
"parvi9";108;37;49;761;195;605;89
"parvi10";110;36;48;709;171;530;86
"albi4";96;45;48;694;185;519;79
"albi5";101;51;54;678;166;605;78
"albi6";102;41;41;792;185;592;79
"albi8";105;41;43;716;141;513;84
"albi9";110;35;44;710;190;505;82
"albi10";111;48;47;763;199;646;85
"chiri1";104;44;57;695;156;490;87
"chiri2";106;42;53;702;167;486;91
"chiri3";108;39;56;701;160;536;88
"chiri4";110;41;47;721;160;550;92
"chiri5";112;41;57;707;152;520;87
"chiri6";113;45;55;700;170;516;95
"chiri7";114;40;53;743;166;571;87
"chiri8";114;47;60;705;179;568;87
"chiri9";115;36;54;630;177;472;85
"chiri10";117;40;55;781;170;554;90
"meso1";96;36;56;750;182;533;70
"meso2";97;38;50;766;175;590;75
"meso3";97;46;62;731;157;610;79
"meso4";101;39;52;782;192;627;79
"meso5";102;47;53;805;174;644;79
"meso6";104;45;53;771;158;591;85
"meso7";112;41;56;784;172;672;91
"meso8";112;44;52;760;166;564;83
"meso9";113;46;55;801;176;672;88
"meso10";115;40;58;785;172;610;83
"crist2";100;42;55;690;190;540;95
"crist3";107;54;61;678;184;498;92
"crist4";108;44;55;611;175;505;88
"crist5";110;53;61;695;186;586;97
"crist6";113;45;63;608;170;540;87
"crist7";115;45;62;595;173;502;96
"crist8";122;58;46;640;197;566;115
"crist9";126;56;61;700;181;528;95
"crist10";130;58;58;627;197;602;112
"obsc1";100;39;56;899;207;838;74
"obsc2";101;50;52;913;209;826;82
"obsc3";106;46;62;860;210;755;82
"obsc4";107;45;57;849;210;727;78
"obsc5";108;44;56;838;197;759;82
"obsc6";108;47;51;893;172;718;87
"obsc7";111;54;57;760;191;666;78
"obsc8";113;44;60;841;207;736;84
"obsc9";116;46;55;893;227;835;82
"obsc10";118;49;50;915;216;758;85
